id,nombre,descripcion,precio,imagen,stock,categoria,caracteristicas
aceite-de-coco-gb-125ml-neutro,aceite de coco GB 125ml neutro,,5500.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-225ml-neutro,aceite de coco GB 225ml neutro,,9800.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-500ml-neutro,aceite de coco GB 500ml neutro,,12000.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-125ml-virgen,aceite de coco GB 125ml virgen,,7850.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-225ml-virgen,aceite de coco GB 225ml virgen,,17400.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-500ml-virgen,aceite de coco GB 500ml virgen,,19800.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-neutro-360ml,aceite de coco  graal neutro 360ml,,8600.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-360ml-virgen,aceite de coco  graal 360ml virgen,,14400.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-180mk-neutro,aceite de coco  graal 180mk neutro,,5100.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-180ml-virgen,aceite de coco  graal  180ml virgen,,8200.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-beepure,aceite de coco beepure,,9500.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-coco-mk-100-ml,aceite coco MK 100 ml,,7600.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-virgen-mk-200gr,aceite de coco virgen MK 200gr,,14900.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-mk-organico-360ml,aceite de coco MK organico 360ml,,12900.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-el-cosaco-x-360-cc,"Aceite de coco ""El Cosaco"" x 360 Cc",,7500.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-dona-magdalena,aceite de coco doña Magdalena,,9900.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
entrenuts-aceite-de-coco-neutro-200cc,entrenuts aceite de coco neutro 200cc,,6900.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
entrenuts-aceite-de-coco-virgen-200cc,entrenuts aceite de coco virgen 200cc,,9900.0,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
