id,nombre,descripcion,precio,imagen,stock,categoria,caracteristicas
aceite-de-coco-gb-125ml-neutro,Aceite de Coco Gb 125ml Neutro,,5500,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-225ml-neutro,Aceite de Coco Gb 225ml Neutro,,9800,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-500ml-neutro,Aceite de Coco Gb 500ml Neutro,,12000,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-125ml-virgen,Aceite de Coco Gb 125ml Virgen,,7850,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-225ml-virgen,Aceite de Coco Gb 225ml Virgen,,17400,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-gb-500ml-virgen,Aceite de Coco Gb 500ml Virgen,,19800,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-neutro-360ml,Aceite de Coco Graal Neutro 360ml,,8600,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-360ml-virgen,Aceite de Coco Graal 360ml Virgen,,14400,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-180mk-neutro,Aceite de Coco Graal 180mk Neutro,,5100,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-graal-180ml-virgen,Aceite de Coco Graal 180ml Virgen,,8200,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-beepure,Aceite de Coco Beepure,,9500,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-coco-mk-100-ml,Aceite Coco Mk 100 Ml,,7600,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-virgen-mk-200gr,Aceite de Coco Virgen Mk 200gr,,14900,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-mk-organico-360ml,Aceite de Coco Mk Organico 360ml,,12900,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
aceite-de-coco-el-cosaco-x-360-cc,"Aceite de Coco ""el Cosaco"" x 360 Cc",,7500,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?q=80&w=800,si,"ACEITES, VINAGRES Y SALSAS",
